72;350;561;150;16;494;816;164,5;5,25;25;0,75;30
54;350;0;150;16;865,3;787;200;12,5;60;0,9;60
68;350;30;100;16;870;750;140;5,6;19,6;0,75;30
54;350;0;150;16;865,3;787;200;12,5;60;0,9;60
64;490;0;0;8;808;808;201;19;120;0,4;12,5
62;500;70;0;19;977;578;200;9,5;60;0,55;30
64,5;400;0;120;16;430,4;1303,8;160;6;30;0,5;30
65;500;40;0;19;687;1030;173;10;80;0,16;8
54;350;42;0;19;736;1104;176;7;160;0,16;13
66,7;413;353;0;19;908;640;127,8;7,8;60;0,5;30
69;350;0;150;16;744;755;235;4,5;30;0,75;60
74;350;561;150;16;494;816;164,5;4,2;55;0,9;60
60,3;400;0;120;16;429;1299,7;160;6;45;0,5;30
79;420;0;180;10;777;636;120;4,2;39;0,55;35
77;420;200;0;16;819;670;228;5,7;55;0,75;30
59;350;30;100;16;870;750;140;5,6;58,8;0,9;60
80;420;0;180;10;777;636;120;4,2;78;0,16;13
61;350;30;100;16;870;750;140;5,6;58,8;0,75;30
73;350;561;150;16;494;816;164,5;5,25;20;0,9;60
67;350;0;150;16;741;752;235;4,5;45;0,75;60
75;400;140;0;16;819;670;240;6;24;0,75;30
72;420;24,7;49,4;10;695;1042;123,5;20;66,7;0,25;6,5
64;380;80;0;16;901;737;216;5,4;24;0,75;30
53;350;42;0;19;736;1104;176;7;240;0,16;8
56;400;40;0;19;720;1080;176;8;240;0,16;8
66;400;40;0;19;720;1080;176;8;40;0,16;13
70;500;70;0;16;1080;420;200;7;50;0,7;30
59;400;40;0;19;720;1080;176;8;120;0,16;13
67;440;623;0;16;315;610;198;6,6;78;0,75;30
63;390;0;210;16;742;776;186;3;78,5;0,92;23
56;350;42;0;19;736;1104;176;7;160;0,16;8
55;500;40;0;19;687;1030;173;10;160;0,5;30
55;400;40;0;19;720;1080;176;8;160;0,5;30
57;400;40;0;19;720;1080;176;8;120;0,5;30
63;350;30;100;16;870;750;140;5,6;39,2;0,9;60
68,5;390;0;210;16;749;783;186;3;39,3;0,92;13,8
